code,name,gender,function,country_code,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang,coach,sporting_relatives
1532872,ALEKSANYAN Artur,Male,Athlete,ARM,ARM,0,0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",10/21/91,GYUMRI,Armenia,GYUMRI,Armenia,White Bear,Playing and watching football,Athlete,"Graduated from Shirak State University (Gyumri, ARM)","Armenian, English, Russian","Gevorg Aleksanyan (ARM), father",
1532873,AMOYAN Malkhas,Male,Athlete,ARM,ARM,0,0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1/22/99,YEREVAN,Armenia,YEREVAN,Armenia,,,,,Armenian,,"Uncle, Roman Amoyan (wrestling), 2008 Olympic bronze medallist and two-time European champion in Greco-Roman"
1532874,GALSTYAN Slavik,Male,Athlete,ARM,ARM,0,0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",12/21/96,,,YEREVAN,Armenia,,,,,Armenian,Personal: Martin Alekhanyan (ARM).<br>National: Armen Babalaryan (ARM),
1532944,HARUTYUNYAN Arsen,Male,Athlete,ARM,ARM,0,0,['Wrestling'],"[""Men's Freestyle 57kg""]",11/22/99,MASIS,Armenia,YEREVAN,Armenia,,,Athlete,Graduated with a Master's degree from the Armenian State Institute of Physical Culture and Sport (2023),Armenian,National: Habetnak Kurghinyan,
1532945,TEVANYAN Vazgen,Male,Athlete,ARM,ARM,0,0,['Wrestling'],"[""Men's Freestyle 65kg""]",10/27/99,POKR VEDI,Armenia,,Armenia,,,Athlete,"Studied at the Armenian State Institute of Physical Culture and Sport (Yerevan, ARM)","Armenian, Russian",National: Habetnak Kurghinyan (ARM),
1532951,ARENAS Lorena,Female,Athlete,COL,COL,162,0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",9/17/93,PEREIRA,Colombia,MELBOURNE,Australia,,,Athlete,"Physical Education at Jaime Isaza Cadavid Colombian Polytechnic, Medellin (COL)",Spanish,Personal: Brent Vallance (AUS),
1533112,McKENZIE Ashley,Male,Athlete,JAM,JAM,0,0,['Judo'],['Men -60 kg'],7/17/89,LONDON,Great Britain,CAMBERLEY,Great Britain,Bad Boy,Music,Athlete,,English,Personal and National: Luke Preston (GBR),
1533136,BASS BITTAYE Gina Mariam,Female,Athlete,GAM,GAM,161,0,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",5/3/95,TUBAKUTA,Gambia,,,Earlier in her career she was nicknamed the 'Poor Olympian' due to the financial challenges she faced,,"Athlete, police officer (sub-inspector)",,"English, French",Personal: Christophe Belliard (FRA),
1533176,CAMARA Ebrahima,Male,Athlete,GAM,GAM,178,0,['Athletics'],"[""Men's 100m""]",9/18/96,BUNDUNG,Gambia,ANGERS,France,,"Running, watching movies, football, chatting with friends","Athlete, prison officer",,"Arabic, English, French, Mandinka, Wolof",Personal: Christophe Belliard (FRA),
1533188,RUEDA SANTOS Lizeth,Female,Athlete,MEX,MEX,0,0,['Triathlon'],"[""Women's Individual""]",3/7/94,GUADALAJARA,Mexico,XALAPA,Mexico,,,Athlete,Studied Medicine at the University of Guadalajara (MEX),Spanish,Personal: Eugenio Chimal (MEX),
1533189,TAPIA VIDAL Rosa Maria,Female,Athlete,MEX,MEX,0,0,['Triathlon'],"[""Women's Individual""]",8/27/97,HERMOSILLO,Mexico,GUADALAJARA,Mexico,,,Athlete,"Nutrition - Universidad La Salle Noroeste, Ciudad Obregon, Mexico","English, Spanish",Luis Miguel Chávez Rincón,
1533190,GRAJALES Crisanto,Male,Athlete,MEX,MEX,0,0,['Triathlon'],"[""Men's Individual""]",5/6/87,XALAPA,Mexico,XALAPA,Mexico,"Diamante Negro (Black Diamond), Martillo Xalapeno (Hammer from Xalapa, given to him by Spanish triathlete Javier Gomez Noya)","Music, films",Athlete,Sport Studies - University of Veracuz (MEX),Spanish,Personal: Eugenio Chimal (MEX),
1533208,MAAROUFOU Hachim,Male,Athlete,COM,COM,183,0,['Athletics'],"[""Men's 100m""]",2/13/97,MARSEILLE,France,MARSEILLE,France,,,Athlete,,French,Personal: Franck Ne (FRA),
1533209,SAADI Maesha,Female,Athlete,COM,COM,0,0,['Swimming'],"[""Women's 50m Freestyle""]",1/16/07,VIENNE,France,SAINT-ROMAIN-EN-GAL,France,,,"Athlete, student",,French,Personal: Marc-Olivier Froger,
1533230,DIOSDADO Nuria,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],"['Team', 'Duet']",8/22/90,GUADALAJARA,Mexico,MEXICO CITY,Mexico,"Nutria (""Otter"" in Spanish)","Spending time with friends, playing the piano, going to the cinema","Athlete, sport soldier","Studied Business Administration at Anahuac University (MEX) and later completed two Master's Degrees in Marketing and Public Image at the College of Public Image (Mexico City, MEX)",Spanish,National: Adriana Loftus (MEX),
1533231,JIMENEZ Joana,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],"['Team', 'Duet']",8/19/93,ECATEPEC DE MORELOS,Mexico,MEXICO CITY,Mexico,Joa,Dancing,"Athlete, sport soldier","Studied undergrad Psychology at the University of Latin America (Mexico City, MEX) and completed her Master's degree in the same subject at the Technological University of Mexico (Mexico City)",Spanish,National: Adriana Loftus (MEX),
1533232,SOBRINO Jessica,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],5/26/94,MEXICO CITY,Mexico,MEXICO CITY,Mexico,,"Going to the movies, going to restaurants",Athlete,"Studied Business Administration at the Autonomous University of Mexico State (Toluca, MEX)",Spanish,National: Adriana Loftus (MEX),"Uncle, Salvador ""Chava"" Sabrino (diving), finished 11th in the 10m platform event at the 1980 Olympic Games and is head coach for the Australian national team"
1533234,ALFEREZ Regina,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],12/1/97,,,MEXICO CITY,Mexico,,"Travel, photography, cooking, spending time with friends",Athlete,"Studied at Tecmilenio University (Monterrey, MEX)",Spanish,National: Adriana Loftus (MEX),
1533235,ARELLANO Fernanda,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],2/28/02,,,MEXICO CITY,Mexico,,,"Athlete, student","Studies at the University of the Valley of Mexico Coyoacan-Tlalpan (Mexico City, MEX)",Spanish,National: Adriana Loftus (MEX),"Partner, Iker Casas (taekwondo), won a bronze medal at the 2018 Central American and Caribbean Games (63kg) and a silver at the 2021 Pan American Championships (68kg)"
1533237,TOSCANO Pamela,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],1/13/00,,,GUADALAJARA,Mexico,,Choreography,"Athlete, sport soldier","Studied Business Administration at Anahuac University (Mexico City, MEX)",Spanish,National: Adriana Loftus (MEX),
1533239,GONZALEZ Itzamary,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],11/14/03,,,,,,,Athlete,,Spanish,National: Adriana Loftus (MEX),
1533240,RODRIGUEZ Samanta,Female,Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],12/5/94,,,,,Samanta,,Athlete,,Spanish,National: Adriana Loftus (MEX),
1533243,INZUNZA Glenda,Female,Alternate Athlete,MEX,MEX,0,0,['Artistic Swimming'],['Team'],3/12/00,,,,,,,,,,,
