Country Name,medal_type,medal_code,medal_date,Gold,Silver,Bronze,Total,event_type,name_x,gender_x,is_team_event,Cluster,name_y,gender_y,function,NOC,country_code,nationality_code,height,weight,discipline,disciplines,event,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,language,coach,sporting_relatives
Belgium,Gold,1,7/27/24,3,1,6,10,ATH,remco evenepoel,M,FALSE,0,evenepoel remco,Male,Athlete,BEL,BEL,BEL,0,0,Cycling Road,['Cycling Road'],Men's Individual Time Trial,"[""Men's Road Race"", ""Men's Individual Time Trial""]",1/25/00,AALST,Belgium,ALICANTE,Spain,Aero Bullet. Given to him by teammate Yves Lampaert,,Athlete,,"Dutch, English",,"Father, Patrick (road cycling), winner of the 1993 Grand Prix de Wallonie and competed in the Vuelta a Espana the same year"
Belgium,Bronze,3,7/27/24,3,1,6,10,ATH,wout van aert,M,FALSE,0,van aert wout,Male,Athlete,BEL,BEL,BEL,0,0,Cycling Road,['Cycling Road'],Men's Individual Time Trial,"[""Men's Road Race"", ""Men's Individual Time Trial""]",9/15/94,HERENTALS,Belgium,HERENTALS,Belgium,,,Athlete,"Studied computer science at Thomas More University (Geel, BEL)","Dutch, English, French",,
Belgium,Bronze,3,7/31/24,3,1,6,10,HATH,gabriella willems,W,FALSE,0,willems gabriella,Female,Athlete,BEL,BEL,BEL,0,0,Judo,['Judo'],Women -70 kg,['Women -70 kg'],7/1/97,LIEGE,Belgium,BARCHON,Belgium,Gaby,"Cooking, playing piano",,CESS 2015 at Athenee Royal Thil Lorrain (BEL),"English, French, Italian",National: Cedric Taymans (BEL).<br>Club: Raffaele Parlati (ITA),
Belgium,Gold,1,8/3/24,3,1,6,10,ATH,remco evenepoel,M,FALSE,0,evenepoel remco,Male,Athlete,BEL,BEL,BEL,0,0,Cycling Road,['Cycling Road'],Men's Road Race,"[""Men's Road Race"", ""Men's Individual Time Trial""]",1/25/00,AALST,Belgium,ALICANTE,Spain,Aero Bullet. Given to him by teammate Yves Lampaert,,Athlete,,"Dutch, English",,"Father, Patrick (road cycling), winner of the 1993 Grand Prix de Wallonie and competed in the Vuelta a Espana the same year"
Belgium,Bronze,3,8/4/24,3,1,6,10,ATH,lotte kopecky,W,FALSE,0,kopecky lotte,Female,Athlete,BEL,BEL,BEL,0,0,Cycling Road,"['Cycling Road', 'Cycling Track']",Women's Road Race,"[""Women's Road Race"", ""Women's Individual Time Trial"", ""Women's Omnium""]",11/10/95,RUMST,Belgium,ASSENEDE,Belgium,,,Athlete,,"Dutch, English",Team: Anna van der Breggen (NED),"Brother, Seppe Kopecky (cyclo-cross), competed at national level"
Belgium,Bronze,3,8/8/24,3,1,6,10,ATH,fabio van den bossche,M,FALSE,0,van den bossche fabio,Male,Athlete,BEL,BEL,BEL,0,0,Cycling Track,['Cycling Track'],Men's Omnium,"[""Men's Madison"", ""Men's Omnium"", ""Men's Team Pursuit""]",9/21/00,GHENT,Belgium,GHENT,Belgium,,,Athlete,,"Dutch, English",,"Grandfather, Willy de Geest (cycling), competed on international level"
Belgium,Bronze,3,8/9/24,3,1,6,10,HATH,sarah chaari,W,FALSE,0,chaari sarah,Female,Athlete,BEL,BEL,BEL,0,0,Taekwondo,['Taekwondo'],Women -67kg,['Women -67kg'],5/2/05,CHARLEROI,Belgium,CHARLEROI,Belgium,,,"Athlete, student","Studies Medicine at the Université Libre de Bruxelles (Brussels, BEL)","English, French",,
Belgium,Silver,2,8/10/24,3,1,6,10,ATH,bashir abdi,M,FALSE,0,abdi bashir,Male,Athlete,BEL,BEL,BEL,170,0,Athletics,['Athletics'],Men's Marathon,"[""Men's Marathon""]",2/10/89,MOGADISHU,Somalia,GHENT,Belgium,,,Athlete,,"Dutch, English, Somali","Personal: Gary Lough (GBR), since 2018",
Italy,Silver,2,7/27/24,12,13,15,40,ATH,filippo ganna,M,FALSE,3,ganna filippo,Male,Athlete,ITA,ITA,ITA,0,0,Cycling Road,"['Cycling Road', 'Cycling Track']",Men's Individual Time Trial,"[""Men's Individual Time Trial"", ""Men's Madison"", ""Men's Team Pursuit""]",7/25/96,VERBANIA,Italy,ASCONA,Switzerland,Top Ganna,"Sports, animals, gaming, cooking, building Lego",Athlete,Studied Building Engineering and Architecture at Politecnico di Milano (ITA),"English, Italian",Personal: Dario Cioni (ITA). <br>Personal (time trial): Daniel Bigham (GBR),"Father, Marco Ganna (canoe sprint), competed for Italy at the Los Angeles 1984 Olympic Games"
Italy,Bronze,3,7/27/24,12,13,15,40,HATH,luigi samele,M,FALSE,3,samele luigi,Male,Athlete,ITA,ITA,ITA,0,0,Fencing,['Fencing'],Men's Sabre Individual,"[""Men's Sabre Individual"", ""Men's Sabre Team""]",7/25/87,FOGGIA,Italy,BOLOGNA,Italy,Gigi,Playing the piano,Police athlete,,"English, Italian",National: Nicola Zanotti (ITA),"Wife, Olga Kharlan (fencing), four-time Olympic medallist - one gold (2008 team sabre), one silver (2016 team sabre), two individual sabre bronze (2012, 2016). Fifteen-time world championship medallist (six gold, seven silver, two bronze). 2016 Olympic Games Closing Ceremony flagbearer"
