NOC,Country Name,medal_type,medal_code,medal_date,Gold,Silver,Bronze,Total,event_type,name,gender,is_team_event,Cluster,height,weight,discipline,event,birth_date,birth_country,residence_country,hobbies,occupation,language,coach,sporting_relatives
BEL,Belgium,Gold,1,7/27/24,3,1,6,10,ATH,remco evenepoel,M,FALSE,0,0,0,Cycling Road,Men's Individual Time Trial,1/25/00,Belgium,Spain,,Athlete,"Dutch, English",,"Father, Patrick (road cycling), winner of the 1993 Grand Prix de Wallonie and competed in the Vuelta a Espana the same year"
BEL,Belgium,Bronze,3,7/27/24,3,1,6,10,ATH,wout van aert,M,FALSE,0,0,0,Cycling Road,Men's Individual Time Trial,9/15/94,Belgium,Belgium,,Athlete,"Dutch, English, French",,
BEL,Belgium,Bronze,3,7/31/24,3,1,6,10,HATH,gabriella willems,W,FALSE,0,0,0,Judo,Women -70 kg,7/1/97,Belgium,Belgium,"Cooking, playing piano",,"English, French, Italian",National: Cedric Taymans (BEL).<br>Club: Raffaele Parlati (ITA),
BEL,Belgium,Gold,1,8/3/24,3,1,6,10,ATH,remco evenepoel,M,FALSE,0,0,0,Cycling Road,Men's Road Race,1/25/00,Belgium,Spain,,Athlete,"Dutch, English",,"Father, Patrick (road cycling), winner of the 1993 Grand Prix de Wallonie and competed in the Vuelta a Espana the same year"
BEL,Belgium,Bronze,3,8/4/24,3,1,6,10,ATH,lotte kopecky,W,FALSE,0,0,0,Cycling Road,Women's Road Race,11/10/95,Belgium,Belgium,,Athlete,"Dutch, English",Team: Anna van der Breggen (NED),"Brother, Seppe Kopecky (cyclo-cross), competed at national level"
BEL,Belgium,Bronze,3,8/8/24,3,1,6,10,ATH,fabio van den bossche,M,FALSE,0,0,0,Cycling Track,Men's Omnium,9/21/00,Belgium,Belgium,,Athlete,"Dutch, English",,"Grandfather, Willy de Geest (cycling), competed on international level"
BEL,Belgium,Bronze,3,8/9/24,3,1,6,10,HATH,sarah chaari,W,FALSE,0,0,0,Taekwondo,Women -67kg,5/2/05,Belgium,Belgium,,"Athlete, student","English, French",,
BEL,Belgium,Silver,2,8/10/24,3,1,6,10,ATH,bashir abdi,M,FALSE,0,170,0,Athletics,Men's Marathon,2/10/89,Somalia,Belgium,,Athlete,"Dutch, English, Somali","Personal: Gary Lough (GBR), since 2018",
ITA,Italy,Silver,2,7/27/24,12,13,15,40,ATH,filippo ganna,M,FALSE,3,0,0,Cycling Road,Men's Individual Time Trial,7/25/96,Italy,Switzerland,"Sports, animals, gaming, cooking, building Lego",Athlete,"English, Italian",Personal: Dario Cioni (ITA). <br>Personal (time trial): Daniel Bigham (GBR),"Father, Marco Ganna (canoe sprint), competed for Italy at the Los Angeles 1984 Olympic Games"
ITA,Italy,Bronze,3,7/27/24,12,13,15,40,HATH,luigi samele,M,FALSE,3,0,0,Fencing,Men's Sabre Individual,7/25/87,Italy,Italy,Playing the piano,Police athlete,"English, Italian",National: Nicola Zanotti (ITA),"Wife, Olga Kharlan (fencing), four-time Olympic medallist - one gold (2008 team sabre), one silver (2016 team sabre), two individual sabre bronze (2012, 2016). Fifteen-time world championship medallist (six gold, seven silver, two bronze). 2016 Olympic Games Closing Ceremony flagbearer"
ITA,Italy,Bronze,3,7/27/24,12,13,15,40,TEAM,team-achievement,M,TRUE,3,,,Swimming,Men's 4 x 100m Freestyle Relay,,,,,,,,
ITA,Italy,Silver,2,7/28/24,12,13,15,40,ATH,federico nilo maldini,M,FALSE,3,0,0,Shooting,10m Air Pistol Men,3/28/01,Italy,Italy,"Video games, football, gym",Army officer,"English, Italian",National: Mauro Badaracchi (ITA),
ITA,Italy,Bronze,3,7/28/24,12,13,15,40,ATH,paolo monna,M,FALSE,3,0,0,Shooting,10m Air Pistol Men,4/19/98,Italy,Italy,Fishing,Police officer,"English, Italian",National: Mauro Badaracchi (ITA).<br>Personal: Giuseppe Argentieri,
ITA,Italy,Gold,1,7/28/24,12,13,15,40,ATH,nicolo martinenghi,M,FALSE,3,0,0,Swimming,Men's 100m Breaststroke,8/1/99,Italy,Italy,"Basketball, music, shopping",Athlete,"English, Italian",Club: Marco Pedoja,
ITA,Italy,Silver,2,7/29/24,12,13,15,40,HATH,filippo macchi,M,FALSE,3,0,0,Fencing,Men's Foil Individual,9/19/01,Italy,Italy,,"Athlete, policeman",Italian,National: Stefano Cerioni (ITA),"Grandfather, Carlo Macchi (fencing), founder of the Navacchio Fencing Club, former coach of the national U20 team"
ITA,Italy,Gold,1,7/29/24,12,13,15,40,ATH,thomas ceccon,M,FALSE,3,0,0,Swimming,Men's 100m Backstroke,1/27/01,Italy,Italy,,Athlete,"English, Italian",Personal: Alberto Burlina (ITA),
ITA,Italy,Silver,2,7/30/24,12,13,15,40,TEAM,team-achievement,W,TRUE,3,,,Artistic Gymnastics,Women's Team,,,,,,,,
ITA,Italy,Gold,1,7/30/24,12,13,15,40,HTEAM,team-achievement,W,FALSE,3,,,Fencing,Women's Épée Team,,,,,,,,
ITA,Italy,Bronze,3,7/30/24,12,13,15,40,ATH,gregorio paltrinieri,M,FALSE,3,0,0,Swimming,Men's 800m Freestyle,9/5/94,Italy,Italy,"Watching basketball (New York Knicks), watching tennis (Rafael Nadal), architecture, design",Police athlete,"English, Italian",Personal: Fabrizio Antonelli (ITA),"Fiancee, Rossella Fiamingo (fencing), two-time Olympic medallist, two-time world champion"
ITA,Italy,Silver,2,7/31/24,12,13,15,40,TEAM,team-achievement,M,TRUE,3,,,Rowing,Men's Quadruple Sculls,,,,,,,,
ITA,Italy,Silver,2,7/31/24,12,13,15,40,ATH,silvana maria stanco,W,FALSE,3,0,0,Shooting,Trap Women,1/6/93,Switzerland,Switzerland,"Singing, playing piano, listening to music","Athlete, police officer","English, French, German, Italian, Portuguese",National: Marco Conti (ITA).<br>Personal: Donato Stanco (ITA) - her father,
ITA,Italy,Gold,1,8/1/24,12,13,15,40,ATH,giovanni de gennaro,M,FALSE,3,0,0,Canoe Slalom,Men's Kayak Single,7/21/92,Italy,Italy,"Playing music, basketball",Athlete,"English, Italian",,"Brother, Riccardo De Gennaro (canoe slalom), best World Cup finish was 33rd in Prague (2012).</p><p>Sister-in-law, Stefanie Horn (canoe slalom), two-time Olympian (Rio 2016, Tokyo 2020), silver medallist in the mixed C2 event at the 2017 World Championships, three-time European Championship medallist (one gold, two silver)"
ITA,Italy,Silver,2,8/1/24,12,13,15,40,HTEAM,team-achievement,W,FALSE,3,,,Fencing,Women's Foil Team,,,,,,,,
ITA,Italy,Gold,1,8/1/24,12,13,15,40,HATH,alice bellandi,W,FALSE,3,0,0,Judo,Women -78 kg,11/20/98,Italy,Italy,,Military sports group,"English, Italian",National: Francesco Bruyere (ITA).<br>Club: Antonio Chiara (ITA),
ITA,Italy,Silver,2,8/2/24,12,13,15,40,TEAM,team-achievement,M,TRUE,3,,,Rowing,Lightweight Men's Double Sculls,,,,,,,,
ITA,Italy,Gold,1,8/3/24,12,13,15,40,ATH,marta maggetti,W,FALSE,3,0,0,Sailing,Women's Windsurfing,1/10/96,Italy,Italy,,,,,
ITA,Italy,Bronze,3,8/3/24,12,13,15,40,HATH,lorenzo musetti,M,FALSE,3,185,0,Tennis,Men's Singles,3/3/02,Italy,Monaco,"Playing poker, playing card games, listening to classic rock music",,"English, Italian",Personal: Simone Tartarini (ITA),
ITA,Italy,Silver,2,8/4/24,12,13,15,40,HTEAM,team-achievement,M,FALSE,3,,,Fencing,Men's Foil Team,,,,,,,,
ITA,Italy,Silver,2,8/4/24,12,13,15,40,ATH,gregorio paltrinieri,M,FALSE,3,0,0,Swimming,Men's 1500m Freestyle,9/5/94,Italy,Italy,"Watching basketball (New York Knicks), watching tennis (Rafael Nadal), architecture, design",Police athlete,"English, Italian",Personal: Fabrizio Antonelli (ITA),"Fiancee, Rossella Fiamingo (fencing), two-time Olympic medallist, two-time world champion"
ITA,Italy,Gold,1,8/4/24,12,13,15,40,HCOUP,erranipaolini,W,TRUE,3,,,Tennis,Women's Doubles,,,,,,,,
ITA,Italy,Gold,1,8/5/24,12,13,15,40,ATH,alice d'amato,W,FALSE,3,0,0,Artistic Gymnastics,Women's Balance Beam,2/7/03,Italy,Italy,Music,Armed forces athlete,Italian,"National/personal: Enrico Casella (ITA).<br>Personal: Monica Bergamelli (ITA), Marco Campodonico (ITA)",
ITA,Italy,Bronze,3,8/5/24,12,13,15,40,ATH,manila esposito,W,FALSE,3,0,0,Artistic Gymnastics,Women's Balance Beam,11/2/06,Italy,Italy,Cinema,Athlete,Italian,Personal: Enrico Caselli (ITA),
ITA,Italy,Gold,1,8/5/24,12,13,15,40,HTEAM,team-achievement,X,FALSE,3,,,Shooting,Skeet Mixed Team,,,,,,,,
ITA,Italy,Bronze,3,8/6/24,12,13,15,40,ATH,mattia furlani,M,FALSE,3,183,0,Athletics,Men's Long Jump,2/7/05,Italy,,Fan of Italian football club Roma,Athlete,Italian,"Personal: Khadidiatou Seck (ITA), his mother","Father, Marcello (athletics), high jump personal best 2.27m in 1985. </p><p>Older sister, Erika (athletics), high jumper, represented Italy at the 2017 World Championships and 2016/2022 European Championships, 2013 World U18 silver medallist, 2017 European U23 bronze medallist. </p><p>Older brother, Luca (athletics), long jump"
ITA,Italy,Bronze,3,8/7/24,12,13,15,40,TEAM,team-achievement,M,TRUE,3,,,Cycling Track,Men's Team Pursuit,,,,,,,,
ITA,Italy,Silver,2,8/8/24,12,13,15,40,COUP,casadeitacchini,M,TRUE,3,,,Canoe Sprint,Men's Canoe Double 500m,,,,,,,,
ITA,Italy,Bronze,3,8/8/24,12,13,15,40,ATH,ginevra taddeucci,W,FALSE,3,0,0,Marathon Swimming,Women's 10km,5/3/97,Italy,Italy,,Athlete,Italian,Club: Giovanni Pistelli,
ITA,Italy,Gold,1,8/8/24,12,13,15,40,TEAM,titabanti,X,TRUE,3,0,0,Sailing,Mixed Multihull,11/30/97,Italy,Italy,"Snowboarding, playing the guitar, spending time with family, listening to music",,Italian,Personal: Alberto Pelus,
ITA,Italy,Bronze,3,8/9/24,12,13,15,40,ATH,andy diaz hernandez,M,FALSE,3,192,0,Athletics,Men's Triple Jump,12/25/95,Cuba,Italy,Dancing,Athlete,"Italian, Spanish",Fabrizio Donato (ITA),"Cousin, Osniel Tosca (athletics), 2007 World Championships finalist (fourth), 2008 World Indoor Championships finalist (sixth), 2001 World Youth Championships bronze medallist"
ITA,Italy,Silver,2,8/9/24,12,13,15,40,ATH,nadia battocletti,W,FALSE,3,170,0,Athletics,"Women's 10,000m",4/12/00,Italy,Italy,"Music, reading, playing tennis, watching television series","Police, athlete","Arabic, English, Italian","Personal: Giuliano Battocletti (ITA), her father","Father, Giuliano Battocletti (athletics), 1994 World Junior Championships 5000m bronze medallist, 5000m personal best: 13.20.88 in 1999. Competed for Italy at eight world cross country championships.</p><p>Her mother was also a runner"
ITA,Italy,Gold,1,8/9/24,12,13,15,40,TEAM,team-achievement,W,TRUE,3,,,Cycling Track,Women's Madison,,,,,,,,
ITA,Italy,Bronze,3,8/9/24,12,13,15,40,HATH,simone alessio,M,FALSE,3,0,0,Taekwondo,Men -80kg,4/14/00,Italy,Italy,Playing football,Athlete,"English, Italian",Club: Francesco Laface,
ITA,Italy,Bronze,3,8/9/24,12,13,15,40,ATH,antonino pizzolato,M,FALSE,3,0,0,Weightlifting,Men's 89kg,8/20/96,Italy,Italy,"Auto racing, cooking","Athlete, police officer","Italian, Sicilian, Spanish",National: Sebastiano Corbu (ITA),"Younger brother, Fabio Pizzolato (weightlifting), has represented Italy at the youth and junior levels, placing seventh in the overall at the 2021 Junior World Championships. </p><p>Father, Giacomo Pizzolato (auto racing), competed in rally car racing"
ITA,Italy,Silver,2,8/10/24,12,13,15,40,TEAM,team-achievement,M,TRUE,3,,,Cycling Track,Men's Madison,,,,,,,,
ITA,Italy,Bronze,3,8/10/24,12,13,15,40,ATH,giorgio malan,M,FALSE,3,0,0,Modern Pentathlon,Men's Individual,1/27/00,Italy,Italy,"Like skiing and cycling, and playing piano and guitar",,Italian,"National: Giancarlo Duranti (ITA), Umberto Mazzini (ITA)",
ITA,Italy,Gold,1,8/11/24,12,13,15,40,HTEAM,team-achievement,W,FALSE,3,,,Volleyball,Women,,,,,,,,
AUS,Australia,Gold,1,7/27/24,18,19,16,53,ATH,grace brown,W,FALSE,3,0,0,Cycling Road,Women's Individual Time Trial,7/7/92,Australia,Italy,,Athlete,English,,
AUS,Australia,Silver,2,7/27/24,18,19,16,53,TEAM,team-achievement,M,TRUE,3,,,Swimming,Men's 4 x 100m Freestyle Relay,,,,,,,,
AUS,Australia,Silver,2,7/27/24,18,19,16,53,ATH,elijah winnington,M,FALSE,3,0,0,Swimming,Men's 400m Freestyle,5/5/00,Australia,Australia,,,English,Club: Dean Boxall (AUS),
AUS,Australia,Gold,1,7/27/24,18,19,16,53,TEAM,team-achievement,W,TRUE,3,,,Swimming,Women's 4 x 100m Freestyle Relay,,,,,,,,
AUS,Australia,Gold,1,7/27/24,18,19,16,53,ATH,ariarne titmus,W,FALSE,3,0,0,Swimming,Women's 400m Freestyle,9/7/00,Australia,Australia,Cooking,Athlete,English,Club: Dean Boxall (AUS),
AUS,Australia,Gold,1,7/28/24,18,19,16,53,ATH,jessica fox,W,FALSE,3,0,0,Canoe Slalom,Women's Kayak Single,6/11/94,France,Australia,"Spending time with friends, going to the beach, music, travel, art, reading and surfing. Lover of dogs and rescue, especially greyhounds","Athlete, motivational speaker","English, French, Spanish","Personal: Myriam Fox (FRA), her mother","Father, Richard Fox (canoe slalom), represented United Kingdom at the Barcelona 1992 Olympic Games, finishing fourth in K1 slalom, missing the podium by 0.33 seconds. Ten-time world championship gold medallist from 1979 to 1993.</p><p>Mother, Myriam Fox-Jerusalmi (canoe slalom), two-time French Olympian (1992, 1996) claiming K1 slalom bronze at Atlanta 1996. Eight-time world championship gold medallist from 1983 to 1995, adding two silver medals in 1987.</p><p>Sister, Noemie Fox (canoe slalom), alongside Jessica, won the C1 team world championship gold in 2019, after silver in 2017 and U23 bronze medals in 2016 (C1) and 2017 (K1). Claimed another four U23 and junior world championship team medals, including C1 team gold in 2013. Has one individual U23 world championship medal from 2018 (C1 bronze).</p><p>Aunt, Rachel Fox-Crosbee (canoe slalom), two-time British Olympian (1992, 1996). Four-time world championship K1 team medallist (one silver, three bronze)"
AUS,Australia,Silver,2,7/29/24,18,19,16,53,ATH,christopher burton,O,FALSE,3,0,0,Equestrian,Eventing Individual,11/22/81,Australia,United Kingdom,"Skiing, water skiing, golf, playing the guitar","Athlete, business owner, coach, horse trainer",English,,"Wife, Rebekah Thompson (equestrian), has competed in eventing at an elite level"
AUS,Australia,Gold,1,7/29/24,18,19,16,53,ATH,mollie o'callaghan,W,FALSE,3,0,0,Swimming,Women's 200m Freestyle,4/2/04,Australia,Australia,"Spending time with friends, painting, art, sewing",Athlete,English,Club: Dean Boxall (AUS),
AUS,Australia,Silver,2,7/29/24,18,19,16,53,ATH,ariarne titmus,W,FALSE,3,0,0,Swimming,Women's 200m Freestyle,9/7/00,Australia,Australia,Cooking,Athlete,English,Club: Dean Boxall (AUS),
AUS,Australia,Bronze,3,7/30/24,18,19,16,53,TEAM,team-achievement,M,TRUE,3,,,Swimming,Men's 4 x 200m Freestyle Relay,,,,,,,,
AUS,Australia,Gold,1,7/30/24,18,19,16,53,ATH,kaylee mckeown,W,FALSE,3,0,0,Swimming,Women's 100m Backstroke,7/12/01,Australia,Australia,Going to the beach,"Athlete, student",English,Club: Michael Bohl (AUS),"Sister, Taylor McKeown (swimming), 2016 Olympic Games silver medallist (4x100m medley relay) and 2014 Commonwealth Games gold medallist (200m breaststroke)"
AUS,Australia,Gold,1,7/31/24,18,19,16,53,ATH,jessica fox,W,FALSE,3,0,0,Canoe Slalom,Women's Canoe Single,6/11/94,France,Australia,"Spending time with friends, going to the beach, music, travel, art, reading and surfing. Lover of dogs and rescue, especially greyhounds","Athlete, motivational speaker","English, French, Spanish","Personal: Myriam Fox (FRA), her mother","Father, Richard Fox (canoe slalom), represented United Kingdom at the Barcelona 1992 Olympic Games, finishing fourth in K1 slalom, missing the podium by 0.33 seconds. Ten-time world championship gold medallist from 1979 to 1993.</p><p>Mother, Myriam Fox-Jerusalmi (canoe slalom), two-time French Olympian (1992, 1996) claiming K1 slalom bronze at Atlanta 1996. Eight-time world championship gold medallist from 1983 to 1995, adding two silver medals in 1987.</p><p>Sister, Noemie Fox (canoe slalom), alongside Jessica, won the C1 team world championship gold in 2019, after silver in 2017 and U23 bronze medals in 2016 (C1) and 2017 (K1). Claimed another four U23 and junior world championship team medals, including C1 team gold in 2013. Has one individual U23 world championship medal from 2018 (C1 bronze).</p><p>Aunt, Rachel Fox-Crosbee (canoe slalom), two-time British Olympian (1992, 1996). Four-time world championship K1 team medallist (one silver, three bronze)"
AUS,Australia,Bronze,3,7/31/24,18,19,16,53,ATH,natalya diehm,W,FALSE,3,0,0,Cycling BMX Freestyle,Women's Park,9/23/97,Australia,Australia,,"Athlete, coach",English,,
AUS,Australia,Bronze,3,7/31/24,18,19,16,53,ATH,penny smith,W,FALSE,3,0,0,Shooting,Trap Women,4/21/95,Australia,Australia,"Horse riding, netball, being on the farm with her family",Works in hospitality,English,"National: Renae Birgan (AUS)<br>Personal: Michael Smith (AUS), Kim Smith (AUS) - her parents","Mother, Kim Smith (nee Darwin, equestrian), was the groom to equestrian Olympian Andrew Hoy’s horses at the Los Angeles 1984 Olympic Games"
AUS,Australia,Silver,2,7/31/24,18,19,16,53,ATH,kyle chalmers,M,FALSE,3,0,0,Swimming,Men's 100m Freestyle,6/25/98,Australia,Australia,"Photography, caring for his collection of reptiles, supporting Australian football team Port Adelaide, basketball (NBA)",Athlete,English,Club: Ash Delaney (AUS),"Partner, Ingeborg Loyning (NOR), competed in swimming at the 2020 Olympic Games in Tokyo (JPN).</p><p>Father, Brett (Australian rules football), played for the Adelaide Crows and Port Adelaide Power in the AFL (Australian Football League)"
AUS,Australia,Silver,2,7/31/24,18,19,16,53,ATH,zac stubblety-cook,M,FALSE,3,0,0,Swimming,Men's 200m Breaststroke,1/4/99,Australia,Australia,"Cooking, making his own coffee, baking, photography, barbecues",Athlete,English,Club: Vince Raleigh (AUS),
